province_code,province_name_cn,year,value,unit,indicator_key,indicator_label_cn,status,missing_reason,lineage_source_type,lineage_origin,lineage_ruling,lineage_is_demo
ANHUI,安徽,2023,47050.6,亿元,gdp_total,地区生产总值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
ANHUI,安徽,2023,5.8,%,gdp_growth,GDP 增速,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
ANHUI,安徽,2023,3496.6,亿元,primary_gdp,第一产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
ANHUI,安徽,2023,18871.8,亿元,secondary_gdp,第二产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
ANHUI,安徽,2023,76830.0,元,gdp_percapita,人均地区生产总值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
ANHUI,安徽,2023,2418.4,亿元,fixed_asset,固定资产投资,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
ANHUI,安徽,2023,23008.3,亿元,retail,社会消费品零售总额,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
ANHUI,安徽,2023,8052.2,亿元,trade,进出口总额,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45810.html,knife_665_y2023,false
BEIJING,北京,2023,43760.7,亿元,gdp_total,地区生产总值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,5.2,%,gdp_growth,GDP 增速,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,6525.6,亿元,secondary_gdp,第二产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,37129.6,亿元,tertiary_gdp,第三产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,200000.0,元,gdp_percapita,人均地区生产总值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,6181.1,亿元,fiscal_rev,一般公共预算收入,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,14462.7,亿元,fixed_asset,固定资产投资,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,14462.7,亿元,retail,社会消费品零售总额,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
BEIJING,北京,2023,36466.3,亿元,trade,进出口总额,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/45828.html,knife_665_y2023,false
CHONGQING,重庆,2023,30145.79,亿元,gdp_total,地区生产总值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,6.1,%,gdp_growth,GDP 增速,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,2074.68,亿元,primary_gdp,第一产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,11699.14,亿元,secondary_gdp,第二产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,16371.97,亿元,tertiary_gdp,第三产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,94135.0,元,gdp_percapita,人均地区生产总值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,2440.8,亿元,fiscal_rev,一般公共预算收入,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,23120.05,亿元,fixed_asset,固定资产投资,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,15130.25,亿元,retail,社会消费品零售总额,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
CHONGQING,重庆,2023,7137.39,亿元,trade,进出口总额,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/46420.html,knife_665_y2023,false
FUJIAN,福建,2023,54355.1,亿元,gdp_total,地区生产总值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/51411.html,knife_665_y2023,false
FUJIAN,福建,2023,4.5,%,gdp_growth,GDP 增速,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/51411.html,knife_665_y2023,false
FUJIAN,福建,2023,3217.66,亿元,primary_gdp,第一产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/51411.html,knife_665_y2023,false
FUJIAN,福建,2023,23966.43,亿元,secondary_gdp,第二产业增加值,,,hongheiku_tjgb,https://tjgb.hongheiku.com/sjtjgb/51411.html,knife_665_y2023,false
